[35, 244, 285, 297], [35, 147, 244, 285]
[100, 126, 174, 317], [100, 126, 170, 174]
[100, 126, 174, 317], [100, 126, 173, 174]
[100, 126, 174, 317], [100, 126, 174, 177]
[100, 126, 170, 174], [100, 126, 173, 174]
[100, 126, 170, 174], [100, 126, 174, 177]
[100, 126, 173, 174], [100, 126, 174, 177]
[100, 126, 174, 317], [126, 170, 174, 317]
[232, 236, 241, 312], [232, 236, 241, 264]
[232, 236, 241, 312], [232, 241, 264, 312]
[232, 236, 241, 312], [236, 241, 264, 312]
[14, 124, 127, 135], [14, 124, 127, 175]
[14, 124, 127, 135], [14, 124, 135, 175]
[14, 124, 127, 135], [124, 127, 135, 175]
[144, 145, 166, 268], [144, 145, 166, 281]
[144, 145, 166, 268], [144, 145, 166, 269]
[144, 145, 166, 268], [144, 145, 166, 285]
[144, 145, 166, 281], [144, 145, 166, 269]
[144, 145, 166, 281], [144, 145, 166, 285]
[144, 145, 166, 269], [144, 145, 166, 285]
[144, 145, 166, 268], [145, 166, 268, 269]
[144, 145, 166, 268], [145, 166, 268, 276]
[145, 166, 268, 269], [145, 166, 268, 276]
[236, 241, 264, 312], [232, 236, 241, 264]
[236, 241, 264, 312], [232, 241, 264, 312]
[136, 280, 299, 303], [136, 258, 280, 299]
[145, 205, 269, 287], [142, 145, 269, 287]
[145, 205, 269, 287], [142, 205, 269, 287]
[42, 47, 85, 108], [4, 42, 47, 85]
[42, 47, 85, 108], [4, 47, 85, 108]
[71, 72, 81, 194], [71, 72, 80, 81]
[11, 172, 205, 258], [11, 205, 258, 303]
[11, 172, 205, 258], [172, 202, 205, 258]
[58, 206, 209, 302], [31, 206, 209, 302]
[15, 122, 135, 284], [82, 122, 135, 284]
[28, 32, 115, 116], [28, 32, 61, 115]
[28, 32, 115, 116], [28, 32, 85, 115]
[28, 32, 61, 115], [28, 32, 85, 115]
[84, 132, 161, 191], [57, 84, 161, 191]
[141, 172, 202, 265], [141, 172, 265, 287]
[141, 172, 202, 265], [141, 172, 205, 265]
[141, 172, 202, 265], [141, 172, 265, 301]
[141, 172, 265, 287], [141, 172, 205, 265]
[141, 172, 265, 287], [141, 172, 265, 301]
[141, 172, 205, 265], [141, 172, 265, 301]
[141, 172, 202, 265], [172, 202, 205, 265]
[141, 205, 258, 265], [141, 172, 205, 265]
[141, 205, 258, 265], [202, 205, 258, 265]
[141, 205, 258, 265], [205, 258, 265, 299]
[141, 205, 258, 265], [205, 258, 265, 303]
[141, 205, 258, 265], [205, 258, 265, 288]
[202, 205, 258, 265], [205, 258, 265, 299]
[202, 205, 258, 265], [205, 258, 265, 303]
[202, 205, 258, 265], [205, 258, 265, 288]
[205, 258, 265, 299], [205, 258, 265, 303]
[205, 258, 265, 299], [205, 258, 265, 288]
[205, 258, 265, 303], [205, 258, 265, 288]
[14, 87, 124, 225], [14, 87, 225, 266]
[4, 8, 42, 47], [4, 42, 47, 85]
[4, 8, 42, 47], [8, 42, 47, 91]
[77, 107, 127, 163], [77, 127, 163, 245]
[77, 107, 127, 163], [77, 127, 163, 175]
[77, 107, 127, 163], [58, 77, 127, 163]
[77, 127, 163, 245], [77, 127, 163, 175]
[77, 127, 163, 245], [58, 77, 127, 163]
[77, 127, 163, 175], [58, 77, 127, 163]
[20, 218, 219, 226], [20, 218, 219, 224]
[172, 205, 265, 299], [172, 202, 205, 265]
[172, 205, 265, 299], [141, 172, 205, 265]
[172, 202, 205, 265], [141, 172, 205, 265]
[172, 205, 265, 299], [205, 258, 265, 299]
[52, 93, 95, 270], [51, 52, 95, 270]
[14, 15, 135, 312], [14, 15, 43, 135]
[258, 265, 288, 299], [258, 265, 288, 303]
[258, 265, 288, 299], [172, 258, 265, 288]
[258, 265, 288, 299], [205, 258, 265, 288]
[258, 265, 288, 303], [172, 258, 265, 288]
[258, 265, 288, 303], [205, 258, 265, 288]
[172, 258, 265, 288], [205, 258, 265, 288]
[258, 265, 288, 299], [205, 258, 265, 299]
[64, 65, 114, 127], [61, 64, 65, 114]
[33, 64, 65, 115], [32, 33, 64, 115]
[173, 196, 260, 314], [51, 173, 196, 314]
[31, 178, 182, 209], [31, 176, 178, 182]
[31, 178, 182, 209], [31, 176, 182, 209]
[35, 147, 244, 285], [147, 244, 251, 285]
[1, 2, 22, 171], [1, 22, 171, 321]
[203, 207, 215, 326], [203, 207, 215, 254]
[203, 207, 215, 326], [203, 215, 254, 326]
[11, 205, 258, 303], [205, 258, 265, 303]
[176, 178, 206, 209], [108, 176, 178, 206]
[176, 178, 206, 209], [176, 178, 209, 302]
[14, 124, 127, 175], [14, 124, 135, 175]
[14, 124, 127, 175], [14, 83, 124, 175]
[14, 124, 135, 175], [14, 83, 124, 175]
[14, 124, 127, 175], [124, 127, 135, 175]
[176, 178, 209, 302], [31, 176, 178, 302]
[172, 202, 205, 258], [172, 202, 205, 265]
[172, 202, 205, 258], [202, 205, 258, 265]
[112, 218, 219, 243], [6, 112, 218, 219]
[112, 218, 219, 243], [18, 112, 218, 219]
[6, 112, 218, 219], [18, 112, 218, 219]
[112, 218, 219, 243], [134, 218, 219, 243]
[144, 145, 276, 285], [144, 145, 269, 285]
[144, 145, 276, 285], [144, 145, 166, 285]
[144, 145, 269, 285], [144, 145, 166, 285]
[144, 145, 276, 285], [145, 166, 276, 285]
[134, 218, 219, 243], [134, 218, 219, 298]
[134, 218, 219, 243], [134, 218, 243, 298]
[31, 176, 182, 209], [31, 176, 178, 182]
[28, 41, 48, 76], [28, 41, 76, 107]
[28, 41, 48, 76], [28, 29, 41, 76]
[28, 41, 48, 76], [28, 41, 76, 85]
[28, 41, 48, 76], [28, 41, 76, 92]
[28, 41, 76, 107], [28, 29, 41, 76]
[28, 41, 76, 107], [28, 41, 76, 85]
[28, 41, 76, 107], [28, 41, 76, 92]
[28, 29, 41, 76], [28, 41, 76, 85]
[28, 29, 41, 76], [28, 41, 76, 92]
[28, 41, 76, 85], [28, 41, 76, 92]
[82, 127, 186, 302], [82, 83, 127, 186]
[82, 127, 186, 302], [127, 163, 186, 302]
[30, 58, 82, 83], [30, 58, 82, 193]
[30, 58, 82, 83], [30, 82, 83, 122]
[21, 167, 169, 323], [21, 102, 167, 323]
[17, 108, 176, 178], [88, 108, 176, 178]
[17, 108, 176, 178], [108, 176, 178, 206]
[88, 108, 176, 178], [108, 176, 178, 206]
[145, 166, 202, 269], [144, 145, 166, 269]
[145, 166, 202, 269], [145, 166, 268, 269]
[145, 166, 202, 269], [145, 166, 269, 276]
[144, 145, 166, 269], [145, 166, 268, 269]
[144, 145, 166, 269], [145, 166, 269, 276]
[145, 166, 268, 269], [145, 166, 269, 276]
[12, 89, 197, 243], [5, 12, 89, 197]
[126, 170, 174, 317], [100, 126, 170, 174]
[6, 112, 216, 298], [6, 112, 216, 217]
[28, 41, 76, 107], [28, 41, 47, 107]
[31, 176, 178, 302], [31, 176, 178, 182]
[31, 176, 178, 302], [31, 116, 178, 302]
[28, 76, 85, 91], [28, 29, 76, 85]
[28, 76, 85, 91], [28, 41, 76, 85]
[28, 29, 76, 85], [28, 41, 76, 85]
[232, 241, 264, 312], [232, 236, 241, 264]
[77, 127, 163, 245], [58, 77, 163, 245]
[144, 145, 166, 269], [144, 145, 269, 285]
