[2, 14, 23, 33, 43, 45, 48, 52, 55, 56, 71, 72, 80, 86]
[16, 30, 35, 50, 53, 69, 74, 77, 80, 86, 87, 90, 96, 102]
[6, 20, 28, 36, 40, 56, 80, 86, 87, 90, 98, 104, 106, 114]
[16, 30, 35, 50, 53, 77, 86, 87, 90, 102, 104, 145, 158, 160]
[16, 30, 35, 62, 77, 86, 166, 170, 175, 181, 182, 187, 188, 189]
[6, 20, 36, 56, 80, 86, 114, 136, 142, 153, 169, 180, 187, 190]
[6, 20, 36, 56, 80, 86, 114, 136, 142, 169, 180, 187, 190, 202]
[6, 20, 56, 80, 86, 136, 153, 169, 180, 190, 198, 202, 205, 214]
[6, 20, 56, 86, 136, 153, 169, 180, 198, 202, 205, 214, 218, 220]
[30, 77, 187, 188, 191, 198, 200, 205, 208, 219, 223, 227, 234, 243]
[56, 136, 153, 169, 180, 198, 202, 208, 214, 218, 224, 239, 246, 251]
