[0, 335]:[0, 361]
[0, 335]:[118, 335]
[0, 335]:[335, 994]
[118, 335]:[335, 994]
[0, 361]:[33, 361]
[0, 361]:[38, 361]
[0, 361]:[260, 361]
[0, 361]:[353, 361]
[0, 361]:[361, 738]
[33, 361]:[38, 361]
[33, 361]:[260, 361]
[33, 361]:[353, 361]
[33, 361]:[361, 738]
[38, 361]:[260, 361]
[38, 361]:[353, 361]
[38, 361]:[361, 738]
[260, 361]:[353, 361]
[260, 361]:[361, 738]
[353, 361]:[361, 738]
[1, 330]:[1, 357]
[1, 330]:[1, 939]
[1, 357]:[1, 939]
[1, 330]:[323, 330]
[1, 330]:[330, 622]
[1, 330]:[330, 849]
[323, 330]:[330, 622]
[323, 330]:[330, 849]
[330, 622]:[330, 849]
[1, 357]:[357, 708]
[1, 357]:[357, 807]
[357, 708]:[357, 807]
[1, 939]:[67, 939]
[1, 939]:[174, 939]
[1, 939]:[308, 939]
[1, 939]:[770, 939]
[67, 939]:[174, 939]
[67, 939]:[308, 939]
[67, 939]:[770, 939]
[174, 939]:[308, 939]
[174, 939]:[770, 939]
[308, 939]:[770, 939]
[2, 371]:[2, 466]
[2, 371]:[2, 912]
[2, 466]:[2, 912]
[2, 371]:[371, 383]
[2, 371]:[371, 599]
[371, 383]:[371, 599]
[2, 912]:[260, 912]
[2, 912]:[912, 950]
[2, 912]:[912, 951]
[260, 912]:[912, 950]
[260, 912]:[912, 951]
[912, 950]:[912, 951]
[3, 215]:[215, 484]
[3, 215]:[215, 680]
[215, 484]:[215, 680]
[5, 19]:[5, 161]
[5, 19]:[5, 471]
[5, 161]:[5, 471]
[5, 19]:[19, 216]
[5, 19]:[19, 438]
[5, 19]:[19, 518]
[5, 19]:[19, 779]
[19, 216]:[19, 438]
[19, 216]:[19, 518]
[19, 216]:[19, 779]
[19, 438]:[19, 518]
[19, 438]:[19, 779]
[19, 518]:[19, 779]
[5, 161]:[161, 307]
[5, 471]:[169, 471]
[5, 471]:[372, 471]
[5, 471]:[471, 971]
[169, 471]:[372, 471]
[169, 471]:[471, 971]
[372, 471]:[471, 971]
[6, 32]:[6, 151]
[6, 32]:[6, 747]
[6, 151]:[6, 747]
[6, 32]:[32, 963]
[6, 151]:[151, 459]
[6, 747]:[78, 747]
[6, 747]:[430, 747]
[6, 747]:[447, 747]
[6, 747]:[575, 747]
[6, 747]:[643, 747]
[6, 747]:[655, 747]
[6, 747]:[747, 889]
[78, 747]:[430, 747]
[78, 747]:[447, 747]
[78, 747]:[575, 747]
[78, 747]:[643, 747]
[78, 747]:[655, 747]
[78, 747]:[747, 889]
[430, 747]:[447, 747]
[430, 747]:[575, 747]
[430, 747]:[643, 747]
[430, 747]:[655, 747]
[430, 747]:[747, 889]
[447, 747]:[575, 747]
[447, 747]:[643, 747]
[447, 747]:[655, 747]
[447, 747]:[747, 889]
[575, 747]:[643, 747]
[575, 747]:[655, 747]
[575, 747]:[747, 889]
[643, 747]:[655, 747]
[643, 747]:[747, 889]
[655, 747]:[747, 889]
[7, 150]:[150, 235]
[8, 162]:[8, 616]
[8, 162]:[162, 830]
[8, 162]:[162, 849]
[162, 830]:[162, 849]
[9, 421]:[421, 805]
[10, 100]:[10, 244]
[10, 100]:[10, 879]
[10, 244]:[10, 879]
[10, 100]:[100, 154]
[10, 100]:[100, 229]
[10, 100]:[100, 385]
[10, 100]:[100, 639]
[100, 154]:[100, 229]
[100, 154]:[100, 385]
[100, 154]:[100, 639]
[100, 229]:[100, 385]
[100, 229]:[100, 639]
[100, 385]:[100, 639]
[10, 244]:[244, 405]
[10, 244]:[244, 815]
[244, 405]:[244, 815]
[10, 879]:[327, 879]
[10, 879]:[460, 879]
[10, 879]:[736, 879]
[327, 879]:[460, 879]
[327, 879]:[736, 879]
[460, 879]:[736, 879]
[11, 252]:[11, 262]
[11, 252]:[11, 282]
[11, 252]:[11, 443]
[11, 252]:[11, 750]
[11, 262]:[11, 282]
[11, 262]:[11, 443]
[11, 262]:[11, 750]
[11, 282]:[11, 443]
[11, 282]:[11, 750]
[11, 443]:[11, 750]
[11, 252]:[252, 281]
[11, 252]:[252, 502]
[11, 252]:[252, 790]
[11, 252]:[252, 860]
[252, 281]:[252, 502]
[252, 281]:[252, 790]
[252, 281]:[252, 860]
[252, 502]:[252, 790]
[252, 502]:[252, 860]
[252, 790]:[252, 860]
[11, 750]:[171, 750]
[11, 750]:[750, 907]
[171, 750]:[750, 907]
[12, 404]:[404, 671]
[13, 331]:[13, 347]
[13, 331]:[13, 678]
[13, 347]:[13, 678]
[13, 331]:[331, 697]
[13, 347]:[347, 565]
[13, 347]:[347, 635]
[347, 565]:[347, 635]
[13, 678]:[225, 678]
[13, 678]:[539, 678]
[225, 678]:[539, 678]
[14, 769]:[428, 769]
[14, 769]:[739, 769]
[428, 769]:[739, 769]
[15, 21]:[15, 148]
[15, 21]:[15, 393]
[15, 21]:[15, 437]
[15, 148]:[15, 393]
[15, 148]:[15, 437]
[15, 393]:[15, 437]
[15, 21]:[21, 256]
[15, 21]:[21, 398]
[21, 256]:[21, 398]
[15, 148]:[148, 411]
[15, 393]:[393, 625]
[15, 393]:[393, 728]
[393, 625]:[393, 728]
[15, 437]:[65, 437]
[15, 437]:[390, 437]
[15, 437]:[437, 692]
[65, 437]:[390, 437]
[65, 437]:[437, 692]
[390, 437]:[437, 692]
[17, 84]:[17, 403]
[17, 84]:[17, 792]
[17, 403]:[17, 792]
[17, 403]:[403, 584]
[17, 403]:[403, 696]
[17, 403]:[403, 754]
[17, 403]:[403, 766]
[403, 584]:[403, 696]
[403, 584]:[403, 754]
[403, 584]:[403, 766]
[403, 696]:[403, 754]
[403, 696]:[403, 766]
[403, 754]:[403, 766]
[17, 792]:[675, 792]
[19, 216]:[86, 216]
[19, 216]:[216, 691]
[86, 216]:[216, 691]
[19, 438]:[438, 708]
[19, 438]:[438, 873]
[438, 708]:[438, 873]
[19, 518]:[459, 518]
[19, 518]:[518, 969]
[19, 518]:[518, 987]
[459, 518]:[518, 969]
[459, 518]:[518, 987]
[518, 969]:[518, 987]
[19, 779]:[459, 779]
[20, 473]:[20, 561]
[20, 473]:[20, 898]
[20, 561]:[20, 898]
[20, 473]:[118, 473]
[20, 561]:[49, 561]
[20, 561]:[561, 813]
[20, 561]:[561, 921]
