[0, 669]:[0, 720]
[2, 659]:[2, 712]
[3, 880]:[143, 880]
[4, 744]:[4, 933]
[4, 744]:[536, 744]
[5, 832]:[488, 832]
[6, 437]:[437, 679]
[10, 62]:[10, 345]
[10, 62]:[10, 964]
[10, 345]:[10, 964]
[10, 62]:[62, 688]
[10, 345]:[168, 345]
[10, 345]:[345, 473]
[10, 345]:[345, 957]
[168, 345]:[345, 473]
[168, 345]:[345, 957]
[345, 473]:[345, 957]
[10, 964]:[274, 964]
[12, 97]:[12, 335]
[12, 97]:[97, 431]
[12, 335]:[146, 335]
[16, 386]:[105, 386]
[17, 312]:[124, 312]
[18, 921]:[303, 921]
[20, 299]:[20, 586]
[20, 299]:[299, 534]
[20, 586]:[586, 737]
[22, 624]:[22, 644]
[22, 624]:[22, 684]
[22, 644]:[22, 684]
[22, 624]:[485, 624]
[22, 624]:[501, 624]
[22, 624]:[624, 987]
[485, 624]:[501, 624]
[485, 624]:[624, 987]
[501, 624]:[624, 987]
[22, 684]:[269, 684]
[23, 30]:[23, 643]
[23, 30]:[30, 265]
[23, 30]:[30, 518]
[30, 265]:[30, 518]
[23, 643]:[534, 643]
[26, 830]:[26, 861]
[26, 830]:[149, 830]
[27, 550]:[255, 550]
[30, 265]:[265, 733]
[30, 518]:[137, 518]
[30, 518]:[450, 518]
[137, 518]:[450, 518]
[31, 39]:[31, 126]
[31, 39]:[39, 272]
[31, 39]:[39, 432]
[31, 39]:[39, 954]
[39, 272]:[39, 432]
[39, 272]:[39, 954]
[39, 432]:[39, 954]
[31, 126]:[35, 126]
[31, 126]:[126, 365]
[35, 126]:[126, 365]
[35, 126]:[35, 903]
[35, 903]:[268, 903]
[35, 903]:[776, 903]
[35, 903]:[815, 903]
[268, 903]:[776, 903]
[268, 903]:[815, 903]
[776, 903]:[815, 903]
[38, 788]:[74, 788]
[38, 788]:[788, 836]
[38, 788]:[788, 955]
[74, 788]:[788, 836]
[74, 788]:[788, 955]
[788, 836]:[788, 955]
[39, 432]:[432, 436]
[39, 954]:[718, 954]
[41, 382]:[41, 557]
[41, 382]:[382, 855]
[41, 557]:[431, 557]
[42, 274]:[42, 945]
[42, 274]:[274, 964]
[42, 945]:[789, 945]
[43, 273]:[45, 273]
[43, 273]:[273, 447]
[45, 273]:[273, 447]
[45, 273]:[45, 472]
[45, 273]:[45, 853]
[45, 472]:[45, 853]
[47, 838]:[690, 838]
[48, 107]:[107, 836]
[48, 107]:[107, 840]
[107, 836]:[107, 840]
[49, 809]:[540, 809]
[49, 809]:[575, 809]
[49, 809]:[692, 809]
[540, 809]:[575, 809]
[540, 809]:[692, 809]
[575, 809]:[692, 809]
[52, 468]:[52, 625]
[52, 468]:[52, 775]
[52, 468]:[52, 907]
[52, 625]:[52, 775]
[52, 625]:[52, 907]
[52, 775]:[52, 907]
[52, 775]:[775, 783]
[52, 907]:[279, 907]
[55, 115]:[115, 475]
[55, 115]:[115, 745]
[115, 475]:[115, 745]
[60, 352]:[60, 789]
[60, 352]:[352, 385]
[60, 352]:[352, 785]
[352, 385]:[352, 785]
[60, 789]:[789, 844]
[60, 789]:[789, 945]
[789, 844]:[789, 945]
[61, 180]:[61, 360]
[61, 180]:[123, 180]
[61, 180]:[180, 504]
[123, 180]:[180, 504]
[62, 688]:[311, 688]
[64, 351]:[64, 798]
[64, 351]:[351, 489]
[64, 351]:[351, 703]
[64, 351]:[351, 943]
[351, 489]:[351, 703]
[351, 489]:[351, 943]
[351, 703]:[351, 943]
[65, 81]:[65, 118]
[65, 81]:[81, 508]
[65, 81]:[81, 700]
[81, 508]:[81, 700]
[65, 118]:[118, 507]
[67, 144]:[67, 873]
[67, 144]:[67, 985]
[67, 873]:[67, 985]
[67, 985]:[366, 985]
[69, 512]:[512, 882]
[73, 506]:[73, 901]
[73, 506]:[73, 986]
[73, 901]:[73, 986]
[73, 506]:[353, 506]
[74, 251]:[74, 373]
[74, 251]:[74, 788]
[74, 373]:[74, 788]
[74, 373]:[373, 638]
[76, 344]:[76, 607]
[76, 344]:[344, 668]
[78, 315]:[78, 500]
[78, 315]:[315, 725]
[78, 500]:[500, 939]
[81, 508]:[508, 522]
[81, 508]:[508, 601]
[508, 522]:[508, 601]
[81, 700]:[700, 998]
[83, 670]:[670, 792]
[84, 734]:[641, 734]
[86, 424]:[236, 424]
[86, 424]:[369, 424]
[86, 424]:[424, 713]
[236, 424]:[369, 424]
[236, 424]:[424, 713]
[369, 424]:[424, 713]
[88, 322]:[240, 322]
[88, 322]:[255, 322]
[240, 322]:[255, 322]
[94, 940]:[110, 940]
[94, 940]:[463, 940]
[110, 940]:[463, 940]
[97, 431]:[431, 557]
[99, 872]:[464, 872]
[99, 872]:[608, 872]
[464, 872]:[608, 872]
[101, 498]:[101, 819]
[103, 291]:[103, 434]
[103, 291]:[103, 892]
[103, 434]:[103, 892]
[103, 892]:[209, 892]
[105, 386]:[105, 995]
[105, 995]:[695, 995]
[107, 836]:[788, 836]
[107, 840]:[295, 840]
[109, 471]:[471, 895]
[115, 475]:[475, 791]
[116, 222]:[222, 305]
[116, 222]:[222, 941]
[222, 305]:[222, 941]
[118, 507]:[507, 616]
[118, 507]:[507, 805]
[507, 616]:[507, 805]
[120, 590]:[120, 998]
[120, 998]:[700, 998]
[122, 561]:[122, 736]
[122, 561]:[519, 561]
[125, 239]:[196, 239]
[125, 239]:[239, 749]
