[1, 340]:[1, 442]
[5, 329]:[5, 435]
[5, 329]:[329, 815]
[7, 778]:[45, 778]
[9, 515]:[9, 893]
[12, 910]:[623, 910]
[20, 224]:[20, 790]
[20, 224]:[224, 857]
[22, 73]:[73, 248]
[24, 339]:[24, 814]
[24, 814]:[541, 814]
[33, 63]:[63, 100]
[33, 63]:[63, 273]
[63, 100]:[63, 273]
[34, 913]:[672, 913]
[38, 244]:[244, 809]
[41, 615]:[84, 615]
[45, 778]:[45, 817]
[45, 778]:[45, 896]
[45, 817]:[45, 896]
[54, 444]:[54, 505]
[54, 444]:[338, 444]
[54, 444]:[444, 967]
[338, 444]:[444, 967]
[55, 883]:[519, 883]
[55, 883]:[798, 883]
[55, 883]:[864, 883]
[519, 883]:[798, 883]
[519, 883]:[864, 883]
[798, 883]:[864, 883]
[60, 484]:[86, 484]
[60, 484]:[484, 742]
[86, 484]:[484, 742]
[61, 490]:[61, 995]
[71, 546]:[546, 794]
[73, 248]:[248, 507]
[80, 226]:[80, 545]
[80, 226]:[226, 528]
[81, 672]:[330, 672]
[81, 672]:[672, 913]
[330, 672]:[672, 913]
[84, 615]:[84, 964]
[87, 914]:[170, 914]
[94, 102]:[94, 581]
[94, 102]:[102, 422]
[94, 581]:[126, 581]
[98, 272]:[98, 712]
[98, 712]:[712, 954]
[108, 381]:[108, 680]
[108, 381]:[108, 944]
[108, 680]:[108, 944]
[113, 591]:[449, 591]
[113, 591]:[591, 976]
[449, 591]:[591, 976]
[124, 797]:[125, 797]
[126, 581]:[126, 940]
[129, 857]:[224, 857]
[133, 456]:[456, 773]
[134, 485]:[134, 919]
[134, 485]:[134, 993]
[134, 919]:[134, 993]
[139, 466]:[234, 466]
[141, 206]:[141, 429]
[141, 206]:[206, 691]
[153, 397]:[397, 924]
[154, 342]:[154, 511]
[154, 342]:[154, 891]
[154, 511]:[154, 891]
[154, 511]:[511, 623]
[164, 371]:[371, 716]
[178, 267]:[250, 267]
[186, 212]:[212, 439]
[188, 439]:[212, 439]
[201, 266]:[266, 636]
[213, 566]:[323, 566]
[216, 787]:[508, 787]
[220, 480]:[480, 831]
[222, 263]:[263, 783]
[230, 699]:[230, 707]
[237, 892]:[503, 892]
[248, 507]:[507, 811]
[249, 297]:[297, 440]
[249, 297]:[297, 908]
[297, 440]:[297, 908]
[258, 360]:[360, 811]
[260, 610]:[380, 610]
[261, 687]:[416, 687]
[263, 783]:[763, 783]
[265, 380]:[265, 730]
[265, 380]:[380, 610]
[265, 380]:[380, 732]
[380, 610]:[380, 732]
[269, 457]:[457, 662]
[274, 424]:[424, 772]
[280, 509]:[345, 509]
[294, 880]:[561, 880]
[296, 573]:[296, 631]
[296, 573]:[573, 962]
[300, 390]:[300, 562]
[300, 390]:[390, 419]
[338, 444]:[338, 516]
[344, 831]:[480, 831]
[352, 741]:[741, 860]
[360, 811]:[507, 811]
[365, 551]:[365, 897]
[368, 882]:[368, 934]
[368, 882]:[668, 882]
[370, 613]:[613, 702]
[373, 764]:[569, 764]
[385, 855]:[385, 879]
[385, 855]:[606, 855]
[391, 698]:[595, 698]
[391, 698]:[698, 795]
[595, 698]:[698, 795]
[397, 924]:[673, 924]
[416, 629]:[416, 687]
[424, 772]:[650, 772]
[424, 772]:[670, 772]
[650, 772]:[670, 772]
[430, 468]:[430, 668]
[430, 668]:[668, 794]
[430, 668]:[668, 882]
[430, 668]:[668, 976]
[668, 794]:[668, 882]
[668, 794]:[668, 976]
[668, 882]:[668, 976]
[449, 589]:[449, 591]
[454, 531]:[454, 858]
[454, 858]:[858, 952]
[456, 773]:[773, 963]
[459, 503]:[503, 892]
[462, 915]:[915, 935]
[501, 734]:[720, 734]
[511, 623]:[623, 910]
[537, 833]:[537, 909]
[546, 794]:[668, 794]
[582, 852]:[582, 951]
[591, 976]:[668, 976]
[698, 795]:[795, 890]
