[213, 264]
[184, 574]
[102, 128]
[233, 908]
[216, 467]
[159, 226]
[603, 751]
[483, 836]
[498, 677]
[50, 627]
[91, 108]
[220, 391]
[231, 291]
[92, 994]
[38, 155]
[186, 817]
[71, 875]
[94, 102]
[347, 691]
[73, 145]
[390, 999]
[7, 283]
[386, 973]
[118, 516]
[131, 425]
[42, 434]
[32, 648]
[557, 833]
[130, 508]
[879, 908]
[199, 872]
[6, 233]
[165, 286]
[15, 775]
[373, 517]
[88, 275]
[306, 485]
[264, 330]
[41, 284]
[6, 62]
[261, 685]
[106, 713]
[147, 680]
[364, 380]
[167, 301]
[55, 983]
[44, 335]
[452, 982]
[8, 240]
[20, 972]
[150, 314]
[237, 563]
[225, 465]
[377, 384]
[155, 937]
[13, 975]
[332, 935]
[655, 980]
[137, 570]
[505, 738]
[206, 986]
[130, 836]
[512, 557]
[144, 237]
[869, 886]
[634, 850]
[332, 799]
[54, 879]
[58, 682]
[447, 943]
[48, 150]
[416, 598]
[527, 598]
[500, 861]
[28, 95]
[439, 609]
[25, 193]
[113, 125]
[185, 246]
[5, 141]
[844, 959]
[163, 619]
[129, 835]
[173, 728]
[389, 883]
[378, 460]
[102, 732]
[118, 228]
[1, 429]
[114, 502]
[750, 951]
[10, 595]
[522, 862]
[354, 676]
[281, 524]
[335, 888]
[182, 293]
[41, 534]
[538, 902]
[86, 599]
[89, 199]
[244, 384]
[300, 397]
[24, 182]
[204, 362]
[35, 421]
[89, 98]
[95, 552]
[481, 928]
[576, 934]
[140, 715]
[250, 711]
[69, 237]
[161, 488]
[101, 262]
[94, 184]
[194, 637]
[258, 692]
[51, 291]
[236, 547]
[918, 986]
[109, 520]
[153, 801]
[826, 834]
[355, 983]
[641, 864]
[59, 914]
[751, 991]
[739, 947]
[116, 798]
[780, 947]
[226, 621]
[49, 288]
[46, 348]
[181, 894]
[465, 592]
[492, 513]
[179, 325]
[88, 126]
[46, 376]
[118, 895]
[176, 419]
[313, 436]
[413, 666]
[120, 213]
[80, 298]
[109, 328]
[794, 973]
[115, 649]
[278, 983]
[7, 9]
[319, 917]
[207, 233]
[18, 593]
[424, 743]
[179, 786]
[329, 991]
[542, 553]
[4, 282]
[121, 700]
[32, 820]
[41, 924]
[283, 296]
[294, 852]
[55, 811]
[198, 420]
[402, 578]
[359, 393]
[245, 582]
[617, 942]
[142, 708]
[127, 687]
[301, 444]
[148, 915]
[46, 972]
[512, 721]
[596, 655]
[54, 111]
[492, 763]
[191, 845]
[79, 506]
[114, 285]
[410, 793]
[90, 158]
[112, 877]
