[65, 117], [8, 65]
[65, 117], [65, 264]
[65, 117], [65, 132]
[65, 117], [17, 65]
[65, 117], [65, 101]
[65, 117], [4, 65]
[65, 117], [38, 65]
[65, 117], [65, 182]
[65, 117], [65, 108]
[65, 117], [65, 147]
[65, 117], [61, 65]
[65, 117], [65, 312]
[65, 117], [65, 77]
[65, 117], [65, 225]
[65, 117], [65, 93]
[65, 117], [65, 127]
[65, 117], [65, 115]
[65, 117], [65, 100]
[65, 117], [29, 65]
[65, 117], [65, 97]
[65, 117], [65, 217]
[65, 117], [49, 65]
[65, 117], [65, 130]
[65, 117], [65, 174]
[65, 117], [65, 94]
[65, 117], [53, 65]
[65, 117], [65, 116]
[65, 117], [64, 65]
[65, 117], [65, 114]
[65, 117], [65, 121]
[65, 117], [65, 230]
[65, 117], [37, 65]
[65, 117], [28, 65]
[65, 117], [36, 65]
[65, 117], [16, 65]
[65, 117], [33, 65]
[65, 117], [65, 76]
[65, 117], [65, 131]
[65, 117], [41, 65]
[65, 117], [32, 65]
[65, 117], [65, 70]
[8, 65], [65, 264]
[8, 65], [65, 132]
[8, 65], [17, 65]
[8, 65], [65, 101]
[8, 65], [4, 65]
[8, 65], [38, 65]
[8, 65], [65, 182]
[8, 65], [65, 108]
[8, 65], [65, 147]
[8, 65], [61, 65]
[8, 65], [65, 312]
[8, 65], [65, 77]
[8, 65], [65, 225]
[8, 65], [65, 93]
[8, 65], [65, 127]
[8, 65], [65, 115]
[8, 65], [65, 100]
[8, 65], [29, 65]
[8, 65], [65, 97]
[8, 65], [65, 217]
[8, 65], [49, 65]
[8, 65], [65, 130]
[8, 65], [65, 174]
[8, 65], [65, 94]
[8, 65], [53, 65]
[8, 65], [65, 116]
[8, 65], [64, 65]
[8, 65], [65, 114]
[8, 65], [65, 121]
[8, 65], [65, 230]
[8, 65], [37, 65]
[8, 65], [28, 65]
[8, 65], [36, 65]
[8, 65], [16, 65]
[8, 65], [33, 65]
[8, 65], [65, 76]
[8, 65], [65, 131]
[8, 65], [41, 65]
[8, 65], [32, 65]
[8, 65], [65, 70]
[65, 264], [65, 132]
[65, 264], [17, 65]
[65, 264], [65, 101]
[65, 264], [4, 65]
[65, 264], [38, 65]
[65, 264], [65, 182]
[65, 264], [65, 108]
[65, 264], [65, 147]
[65, 264], [61, 65]
[65, 264], [65, 312]
[65, 264], [65, 77]
[65, 264], [65, 225]
[65, 264], [65, 93]
[65, 264], [65, 127]
[65, 264], [65, 115]
[65, 264], [65, 100]
[65, 264], [29, 65]
[65, 264], [65, 97]
[65, 264], [65, 217]
[65, 264], [49, 65]
[65, 264], [65, 130]
[65, 264], [65, 174]
[65, 264], [65, 94]
[65, 264], [53, 65]
[65, 264], [65, 116]
[65, 264], [64, 65]
[65, 264], [65, 114]
[65, 264], [65, 121]
[65, 264], [65, 230]
[65, 264], [37, 65]
[65, 264], [28, 65]
[65, 264], [36, 65]
[65, 264], [16, 65]
[65, 264], [33, 65]
[65, 264], [65, 76]
[65, 264], [65, 131]
[65, 264], [41, 65]
[65, 264], [32, 65]
[65, 264], [65, 70]
[65, 132], [17, 65]
[65, 132], [65, 101]
[65, 132], [4, 65]
[65, 132], [38, 65]
[65, 132], [65, 182]
[65, 132], [65, 108]
[65, 132], [65, 147]
[65, 132], [61, 65]
[65, 132], [65, 312]
[65, 132], [65, 77]
[65, 132], [65, 225]
[65, 132], [65, 93]
[65, 132], [65, 127]
[65, 132], [65, 115]
[65, 132], [65, 100]
[65, 132], [29, 65]
[65, 132], [65, 97]
[65, 132], [65, 217]
[65, 132], [49, 65]
[65, 132], [65, 130]
[65, 132], [65, 174]
[65, 132], [65, 94]
[65, 132], [53, 65]
[65, 132], [65, 116]
[65, 132], [64, 65]
[65, 132], [65, 114]
[65, 132], [65, 121]
[65, 132], [65, 230]
[65, 132], [37, 65]
[65, 132], [28, 65]
[65, 132], [36, 65]
[65, 132], [16, 65]
[65, 132], [33, 65]
[65, 132], [65, 76]
[65, 132], [65, 131]
[65, 132], [41, 65]
[65, 132], [32, 65]
[65, 132], [65, 70]
[17, 65], [65, 101]
[17, 65], [4, 65]
[17, 65], [38, 65]
[17, 65], [65, 182]
[17, 65], [65, 108]
[17, 65], [65, 147]
[17, 65], [61, 65]
[17, 65], [65, 312]
[17, 65], [65, 77]
[17, 65], [65, 225]
[17, 65], [65, 93]
[17, 65], [65, 127]
[17, 65], [65, 115]
[17, 65], [65, 100]
[17, 65], [29, 65]
[17, 65], [65, 97]
[17, 65], [65, 217]
[17, 65], [49, 65]
[17, 65], [65, 130]
[17, 65], [65, 174]
[17, 65], [65, 94]
[17, 65], [53, 65]
[17, 65], [65, 116]
[17, 65], [64, 65]
[17, 65], [65, 114]
[17, 65], [65, 121]
[17, 65], [65, 230]
[17, 65], [37, 65]
[17, 65], [28, 65]
[17, 65], [36, 65]
[17, 65], [16, 65]
[17, 65], [33, 65]
[17, 65], [65, 76]
[17, 65], [65, 131]
[17, 65], [41, 65]
[17, 65], [32, 65]
[17, 65], [65, 70]
[65, 101], [4, 65]
[65, 101], [38, 65]
[65, 101], [65, 182]
[65, 101], [65, 108]
[65, 101], [65, 147]
[65, 101], [61, 65]
[65, 101], [65, 312]
[65, 101], [65, 77]
[65, 101], [65, 225]
[65, 101], [65, 93]
[65, 101], [65, 127]
[65, 101], [65, 115]
[65, 101], [65, 100]
[65, 101], [29, 65]
[65, 101], [65, 97]
[65, 101], [65, 217]
[65, 101], [49, 65]
[65, 101], [65, 130]
[65, 101], [65, 174]
[65, 101], [65, 94]
[65, 101], [53, 65]
[65, 101], [65, 116]
[65, 101], [64, 65]
[65, 101], [65, 114]
