[205, 258, 292], [205, 258, 269]
[205, 258, 292], [172, 205, 258]
[205, 258, 292], [205, 258, 272]
[205, 258, 292], [205, 258, 287]
[205, 258, 292], [140, 205, 258]
[205, 258, 292], [205, 258, 288]
[205, 258, 292], [205, 235, 258]
[205, 258, 292], [133, 205, 258]
[205, 258, 292], [205, 258, 280]
[205, 258, 292], [205, 258, 303]
[205, 258, 292], [166, 205, 258]
[205, 258, 292], [202, 205, 258]
[205, 258, 292], [205, 258, 265]
[205, 258, 292], [205, 258, 299]
[205, 258, 292], [141, 205, 258]
[205, 258, 292], [11, 205, 258]
[205, 258, 269], [172, 205, 258]
[205, 258, 269], [205, 258, 272]
[205, 258, 269], [205, 258, 287]
[205, 258, 269], [140, 205, 258]
[205, 258, 269], [205, 258, 288]
[205, 258, 269], [205, 235, 258]
[205, 258, 269], [133, 205, 258]
[205, 258, 269], [205, 258, 280]
[205, 258, 269], [205, 258, 303]
[205, 258, 269], [166, 205, 258]
[205, 258, 269], [202, 205, 258]
[205, 258, 269], [205, 258, 265]
[205, 258, 269], [205, 258, 299]
[205, 258, 269], [141, 205, 258]
[205, 258, 269], [11, 205, 258]
[172, 205, 258], [205, 258, 272]
[172, 205, 258], [205, 258, 287]
[172, 205, 258], [140, 205, 258]
[172, 205, 258], [205, 258, 288]
[172, 205, 258], [205, 235, 258]
[172, 205, 258], [133, 205, 258]
[172, 205, 258], [205, 258, 280]
[172, 205, 258], [205, 258, 303]
[172, 205, 258], [166, 205, 258]
[172, 205, 258], [202, 205, 258]
[172, 205, 258], [205, 258, 265]
[172, 205, 258], [205, 258, 299]
[172, 205, 258], [141, 205, 258]
[172, 205, 258], [11, 205, 258]
[205, 258, 272], [205, 258, 287]
[205, 258, 272], [140, 205, 258]
[205, 258, 272], [205, 258, 288]
[205, 258, 272], [205, 235, 258]
[205, 258, 272], [133, 205, 258]
[205, 258, 272], [205, 258, 280]
[205, 258, 272], [205, 258, 303]
[205, 258, 272], [166, 205, 258]
[205, 258, 272], [202, 205, 258]
[205, 258, 272], [205, 258, 265]
[205, 258, 272], [205, 258, 299]
[205, 258, 272], [141, 205, 258]
[205, 258, 272], [11, 205, 258]
[205, 258, 287], [140, 205, 258]
[205, 258, 287], [205, 258, 288]
[205, 258, 287], [205, 235, 258]
[205, 258, 287], [133, 205, 258]
[205, 258, 287], [205, 258, 280]
[205, 258, 287], [205, 258, 303]
[205, 258, 287], [166, 205, 258]
[205, 258, 287], [202, 205, 258]
[205, 258, 287], [205, 258, 265]
[205, 258, 287], [205, 258, 299]
[205, 258, 287], [141, 205, 258]
[205, 258, 287], [11, 205, 258]
[140, 205, 258], [205, 258, 288]
[140, 205, 258], [205, 235, 258]
[140, 205, 258], [133, 205, 258]
[140, 205, 258], [205, 258, 280]
[140, 205, 258], [205, 258, 303]
[140, 205, 258], [166, 205, 258]
[140, 205, 258], [202, 205, 258]
[140, 205, 258], [205, 258, 265]
[140, 205, 258], [205, 258, 299]
[140, 205, 258], [141, 205, 258]
[140, 205, 258], [11, 205, 258]
[205, 258, 288], [205, 235, 258]
[205, 258, 288], [133, 205, 258]
[205, 258, 288], [205, 258, 280]
[205, 258, 288], [205, 258, 303]
[205, 258, 288], [166, 205, 258]
[205, 258, 288], [202, 205, 258]
[205, 258, 288], [205, 258, 265]
[205, 258, 288], [205, 258, 299]
[205, 258, 288], [141, 205, 258]
[205, 258, 288], [11, 205, 258]
[205, 235, 258], [133, 205, 258]
[205, 235, 258], [205, 258, 280]
[205, 235, 258], [205, 258, 303]
[205, 235, 258], [166, 205, 258]
[205, 235, 258], [202, 205, 258]
[205, 235, 258], [205, 258, 265]
[205, 235, 258], [205, 258, 299]
[205, 235, 258], [141, 205, 258]
[205, 235, 258], [11, 205, 258]
[133, 205, 258], [205, 258, 280]
[133, 205, 258], [205, 258, 303]
[133, 205, 258], [166, 205, 258]
[133, 205, 258], [202, 205, 258]
[133, 205, 258], [205, 258, 265]
[133, 205, 258], [205, 258, 299]
[133, 205, 258], [141, 205, 258]
[133, 205, 258], [11, 205, 258]
[205, 258, 280], [205, 258, 303]
[205, 258, 280], [166, 205, 258]
[205, 258, 280], [202, 205, 258]
[205, 258, 280], [205, 258, 265]
[205, 258, 280], [205, 258, 299]
[205, 258, 280], [141, 205, 258]
[205, 258, 280], [11, 205, 258]
[205, 258, 303], [166, 205, 258]
[205, 258, 303], [202, 205, 258]
[205, 258, 303], [205, 258, 265]
[205, 258, 303], [205, 258, 299]
[205, 258, 303], [141, 205, 258]
[205, 258, 303], [11, 205, 258]
[166, 205, 258], [202, 205, 258]
[166, 205, 258], [205, 258, 265]
[166, 205, 258], [205, 258, 299]
[166, 205, 258], [141, 205, 258]
[166, 205, 258], [11, 205, 258]
[202, 205, 258], [205, 258, 265]
[202, 205, 258], [205, 258, 299]
[202, 205, 258], [141, 205, 258]
[202, 205, 258], [11, 205, 258]
[205, 258, 265], [205, 258, 299]
[205, 258, 265], [141, 205, 258]
[205, 258, 265], [11, 205, 258]
[205, 258, 299], [141, 205, 258]
[205, 258, 299], [11, 205, 258]
[141, 205, 258], [11, 205, 258]
[205, 258, 292], [258, 292, 305]
[203, 208, 256], [203, 207, 208]
[203, 208, 256], [203, 208, 263]
[203, 207, 208], [203, 208, 263]
[203, 208, 256], [203, 204, 256]
[203, 208, 256], [203, 215, 256]
[203, 204, 256], [203, 215, 256]
[203, 208, 256], [208, 215, 256]
[51, 196, 314], [51, 73, 196]
[51, 196, 314], [51, 173, 196]
[51, 196, 314], [51, 120, 196]
[51, 196, 314], [51, 196, 260]
[51, 73, 196], [51, 173, 196]
[51, 73, 196], [51, 120, 196]
[51, 73, 196], [51, 196, 260]
[51, 173, 196], [51, 120, 196]
[51, 173, 196], [51, 196, 260]
[51, 120, 196], [51, 196, 260]
[51, 196, 314], [51, 173, 314]
[51, 196, 314], [51, 52, 314]
[51, 196, 314], [51, 159, 314]
[51, 173, 314], [51, 52, 314]
[51, 173, 314], [51, 159, 314]
[51, 52, 314], [51, 159, 314]
[51, 196, 314], [173, 196, 314]
[51, 196, 314], [196, 260, 314]
[173, 196, 314], [196, 260, 314]
[9, 11, 235], [9, 11, 303]
[9, 11, 235], [9, 11, 265]
[9, 11, 235], [9, 11, 316]
[9, 11, 235], [9, 11, 313]
[9, 11, 235], [9, 11, 205]
[9, 11, 235], [9, 10, 11]
[9, 11, 235], [9, 11, 321]
[9, 11, 235], [9, 11, 112]
[9, 11, 303], [9, 11, 265]
[9, 11, 303], [9, 11, 316]
[9, 11, 303], [9, 11, 313]
[9, 11, 303], [9, 11, 205]
[9, 11, 303], [9, 10, 11]
[9, 11, 303], [9, 11, 321]
[9, 11, 303], [9, 11, 112]
[9, 11, 265], [9, 11, 316]
[9, 11, 265], [9, 11, 313]
[9, 11, 265], [9, 11, 205]
[9, 11, 265], [9, 10, 11]
[9, 11, 265], [9, 11, 321]
[9, 11, 265], [9, 11, 112]
[9, 11, 316], [9, 11, 313]
[9, 11, 316], [9, 11, 205]
[9, 11, 316], [9, 10, 11]
[9, 11, 316], [9, 11, 321]
[9, 11, 316], [9, 11, 112]
[9, 11, 313], [9, 11, 205]
[9, 11, 313], [9, 10, 11]
[9, 11, 313], [9, 11, 321]
[9, 11, 313], [9, 11, 112]
[9, 11, 205], [9, 10, 11]
[9, 11, 205], [9, 11, 321]
[9, 11, 205], [9, 11, 112]
[9, 10, 11], [9, 11, 321]
[9, 10, 11], [9, 11, 112]
[9, 11, 321], [9, 11, 112]
[9, 11, 235], [9, 235, 316]
[9, 11, 235], [9, 112, 235]
[9, 11, 235], [9, 235, 303]
[9, 235, 316], [9, 112, 235]
[9, 235, 316], [9, 235, 303]
[9, 112, 235], [9, 235, 303]
[9, 11, 235], [11, 122, 235]
[9, 11, 235], [11, 178, 235]
[9, 11, 235], [11, 235, 292]
[9, 11, 235], [11, 235, 293]
[9, 11, 235], [11, 235, 313]
[11, 122, 235], [11, 178, 235]
[11, 122, 235], [11, 235, 292]
[11, 122, 235], [11, 235, 293]
[11, 122, 235], [11, 235, 313]
[11, 178, 235], [11, 235, 292]
[11, 178, 235], [11, 235, 293]
[11, 178, 235], [11, 235, 313]
[11, 235, 292], [11, 235, 293]
[11, 235, 292], [11, 235, 313]
[11, 235, 293], [11, 235, 313]
[29, 64, 65], [29, 64, 86]
[29, 64, 65], [29, 64, 121]
[29, 64, 86], [29, 64, 121]
[29, 64, 65], [29, 65, 121]
[29, 64, 65], [64, 65, 130]
[29, 64, 65], [33, 64, 65]
[29, 64, 65], [64, 65, 121]
[29, 64, 65], [64, 65, 114]
[29, 64, 65], [61, 64, 65]
[29, 64, 65], [64, 65, 115]
[29, 64, 65], [64, 65, 116]
[64, 65, 130], [33, 64, 65]
[64, 65, 130], [64, 65, 121]
