[3, 7, 42, 47]
[19, 89, 134, 249]
[35, 244, 285, 297]
[100, 126, 174, 317]
[41, 42, 92, 107]
[232, 236, 241, 312]
[33, 61, 64, 130]
[14, 124, 127, 135]
[144, 145, 166, 268]
[236, 241, 264, 312]
[136, 280, 299, 303]
[60, 171, 180, 184]
[207, 208, 256, 263]
[145, 205, 269, 287]
[42, 47, 85, 108]
[7, 66, 76, 108]
[87, 236, 241, 286]
[71, 72, 81, 194]
[11, 172, 205, 258]
[22, 164, 194, 304]
[9, 133, 276, 281]
[58, 206, 209, 302]
[21, 71, 81, 128]
[15, 122, 135, 284]
[28, 32, 115, 116]
[84, 132, 161, 191]
[141, 172, 202, 265]
[5, 113, 134, 259]
[141, 205, 258, 265]
[37, 56, 70, 135]
[14, 87, 124, 225]
[4, 8, 42, 47]
[82, 122, 135, 284]
[77, 107, 127, 163]
[20, 218, 219, 226]
[172, 205, 265, 299]
[52, 93, 95, 270]
[136, 272, 285, 301]
[56, 135, 237, 277]
[88, 245, 247, 286]
[11, 122, 218, 219]
[14, 15, 135, 312]
[14, 15, 43, 135]
[258, 265, 288, 299]
[21, 22, 49, 128]
[81, 149, 152, 167]
[64, 65, 114, 127]
[33, 64, 65, 115]
[95, 149, 158, 187]
[173, 196, 260, 314]
[31, 178, 182, 209]
[35, 147, 244, 285]
[5, 90, 106, 197]
[6, 89, 134, 230]
[1, 2, 22, 171]
[203, 207, 215, 326]
[11, 205, 258, 303]
[176, 178, 206, 209]
[14, 124, 127, 175]
[176, 178, 209, 302]
[107, 108, 126, 177]
[172, 202, 205, 258]
[112, 218, 219, 243]
[144, 145, 276, 285]
[134, 218, 219, 243]
[136, 258, 280, 299]
[6, 112, 218, 219]
[31, 176, 182, 209]
[51, 73, 171, 173]
[18, 112, 218, 219]
[28, 41, 48, 76]
[82, 127, 186, 302]
[147, 244, 251, 285]
[30, 58, 82, 83]
[29, 36, 61, 114]
[145, 166, 304, 323]
[21, 167, 169, 323]
[17, 108, 176, 178]
[145, 166, 202, 269]
[16, 17, 70, 127]
[115, 116, 245, 246]
[32, 33, 61, 114]
[12, 89, 197, 243]
[126, 170, 174, 317]
[6, 112, 216, 298]
[28, 41, 76, 107]
[66, 85, 92, 108]
[71, 72, 153, 167]
[31, 176, 178, 302]
[5, 12, 89, 197]
[22, 103, 153, 167]
[4, 8, 48, 115]
[138, 139, 220, 221]
[100, 126, 170, 174]
[144, 145, 166, 281]
[142, 145, 166, 305]
[28, 76, 85, 91]
[232, 241, 264, 312]
[77, 127, 163, 245]
[144, 145, 166, 269]
[49, 125, 180, 187]
[28, 32, 61, 130]
[124, 127, 135, 175]
[124, 135, 186, 277]
[89, 142, 268, 281]
[21, 22, 153, 155]
[61, 114, 116, 117]
[28, 29, 41, 76]
[28, 32, 61, 115]
[245, 261, 267, 277]
[64, 115, 176, 302]
[141, 172, 265, 287]
[28, 29, 76, 85]
[14, 87, 225, 266]
[113, 216, 228, 306]
[15, 56, 135, 266]
[4, 47, 85, 108]
[13, 78, 107, 108]
[247, 261, 267, 277]
[100, 126, 173, 174]
[22, 27, 72, 155]
[9, 11, 133, 265]
[202, 205, 258, 265]
[145, 166, 268, 269]
[58, 77, 163, 245]
[51, 173, 196, 314]
[82, 110, 245, 261]
[51, 52, 95, 270]
[111, 186, 245, 277]
[205, 258, 265, 299]
[28, 32, 85, 115]
[29, 64, 86, 121]
[49, 54, 180, 231]
[28, 41, 47, 107]
[172, 202, 205, 265]
[232, 236, 241, 264]
[8, 42, 47, 91]
[98, 99, 126, 174]
[4, 42, 47, 85]
[21, 22, 27, 155]
[142, 205, 269, 287]
[134, 218, 219, 298]
[32, 33, 64, 115]
[134, 218, 243, 298]
[14, 124, 135, 175]
[85, 101, 115, 130]
[144, 145, 269, 285]
[80, 81, 102, 103]
[60, 184, 196, 201]
[133, 258, 288, 303]
[145, 166, 269, 276]
[258, 265, 288, 303]
[145, 166, 276, 285]
[49, 158, 168, 187]
[112, 272, 301, 305]
[47, 107, 111, 237]
[142, 145, 269, 287]
[64, 115, 117, 121]
[82, 83, 163, 186]
[30, 58, 186, 193]
[100, 126, 174, 177]
[77, 127, 163, 175]
[32, 85, 101, 115]
[28, 41, 76, 85]
[77, 163, 175, 186]
[20, 218, 219, 224]
[51, 52, 119, 159]
[110, 232, 236, 264]
[30, 82, 83, 122]
[9, 11, 235, 316]
[4, 86, 115, 121]
[199, 207, 256, 296]
[61, 64, 65, 114]
[166, 268, 269, 276]
[21, 22, 27, 323]
[31, 206, 209, 302]
[31, 116, 178, 302]
[72, 80, 81, 326]
[83, 127, 163, 186]
[58, 77, 127, 163]
[88, 108, 176, 178]
[17, 138, 139, 198]
[82, 163, 186, 277]
[82, 83, 127, 186]
[14, 83, 124, 175]
[126, 170, 177, 188]
[9, 202, 287, 292]
[28, 41, 76, 92]
[57, 84, 161, 191]
[205, 258, 265, 303]
[272, 273, 301, 305]
[1, 22, 171, 321]
[73, 170, 171, 188]
[55, 87, 246, 286]
[144, 145, 166, 285]
[172, 258, 265, 288]
[21, 102, 167, 323]
[205, 258, 265, 288]
[9, 202, 287, 291]
[141, 172, 205, 265]
[55, 87, 88, 286]
[29, 111, 252, 277]
[37, 65, 70, 114]
[80, 81, 103, 131]
[22, 40, 71, 167]
[145, 166, 268, 276]
[30, 58, 82, 193]
[127, 163, 186, 302]
[13, 18, 259, 262]
[55, 87, 225, 286]
[203, 215, 254, 326]
[47, 80, 111, 237]
[71, 72, 80, 81]
[60, 187, 274, 320]
[32, 85, 115, 130]
[141, 172, 265, 301]
[89, 142, 172, 268]
[52, 62, 67, 231]
[203, 207, 215, 254]
[6, 112, 216, 217]
[31, 176, 178, 182]
[108, 176, 178, 206]
